"imputation","beta_naive","lambda_adj","lambda_marginal","s2b","s2w","beta_corrected"
1,-0.0645255147235508,0.38855202861853,0.478272792392843,14.8807904301844,23.4172734947217,-0.166066601049457
2,-0.0651313687916691,0.387191867556066,0.478272792392843,14.7967655046047,23.4188240892601,-0.168214712779932
3,-0.0634767662620426,0.38698398036089,0.478272792392843,14.7826960808205,23.4170662634363,-0.164029441742901
4,-0.0666842814511726,0.389888431824266,0.478272792392843,14.9639947153434,23.4162020125455,-0.17103426521059
5,-0.0637786922826695,0.388052332539578,0.478272792392843,14.8495787336767,23.4173700474189,-0.164355904950435
6,-0.0644361036951689,0.387534818703659,0.478272792392843,14.8186222781188,23.4195477208726,-0.166271778909347
7,-0.0654266578509404,0.388953353081403,0.478272792392843,14.9045776261577,23.4151270584252,-0.168212093642107
8,-0.0640025374583143,0.388566417501724,0.478272792392843,14.8804486344045,23.4153174538692,-0.164714536757491
9,-0.0640531421700537,0.388352386747227,0.478272792392843,14.8684434086285,23.4175152104597,-0.164935621244797
10,-0.0648178889298316,0.389022452262268,0.478272792392843,14.9102153044249,23.4171748441849,-0.166617347026884
11,-0.0644325675355209,0.388619740977406,0.478272792392843,14.8853443638638,23.4177648050788,-0.165798493338162
12,-0.0643404061177096,0.388611942292638,0.478272792392843,14.8845702438209,23.4173155809136,-0.165564665198217
13,-0.063999453573122,0.387027714518562,0.478272792392843,14.7856779797423,23.4174724022265,-0.165361422896377
14,-0.0649114982649305,0.387992667230566,0.478272792392843,14.8459949085265,23.4176017065719,-0.167300837740721
15,-0.0651205609272772,0.388820694424892,0.478272792392843,14.8960941220061,23.4148660084443,-0.167482240171392
16,-0.0638247110179702,0.387647314426712,0.478272792392843,14.8239170296838,23.416814888211,-0.164646338676072
17,-0.0653022804489656,0.389283804942283,0.478272792392843,14.9267349794807,23.4173594574657,-0.167749800068481
18,-0.0649614051868483,0.387926320199849,0.478272792392843,14.8410721291894,23.4163787226725,-0.16745810171731
19,-0.0653058466082066,0.388968402291771,0.478272792392843,14.9063410233528,23.4164145925939,-0.16789499152998
20,-0.064083160326629,0.387438987685627,0.478272792392843,14.8113774237163,23.4175512450072,-0.165401940340157
